machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp_ruby_quartz
ruby,kripke.exe,1,67660714.29,437553571.4,86803571.43,913250000,9803571.429,4750000,446428.5714,214285.7143,4.205357143,209008271.6,108750571.3,938.7142857,19688.71429,14625000,1.312828207
ruby,kripke.exe,1,137767857.1,766714285.7,155982142.9,1690160714,12285714.29,4785714.286,500000,214285.7143,4.008928571,329783686.5,108836144.6,938.7232143,19688.73214,16017857.14,1.25
ruby,kripke.exe,1,236053571.4,1227660714,252892857.1,2778142857,15892857.14,4857142.857,553571.4286,214285.7143,7.410714286,498857283.8,108928260.9,938.7321429,19688.72321,16946428.57,1.294211084
ruby,kripke.exe,1,362017857.1,1819982143,377321428.6,4176250000,18767857.14,4875000,589285.7143,232142.8571,3.75,716239725.3,108787776.6,938.7142857,19688.71429,18196428.57,1.291625
ruby,kripke.exe,1,4875000,53464285.71,10500000,97446428.57,2232142.857,1214285.714,53571.42857,53571.42857,9.258928571,33030751.72,27294497.28,938.7142857,19688.70536,3089285.714,1
ruby,kripke.exe,1,10107142.86,82285714.29,18285714.29,168446428.6,2464285.714,1214285.714,53571.42857,53571.42857,4.321428571,47659273.02,27387815.35,938.7232143,19688.72321,3160714.286,1.501501502
ruby,kripke.exe,1,18946428.57,130500000,31250000,287321428.6,2803571.429,1214285.714,53571.42857,53571.42857,5.25,72082532.75,27332649.34,938.7232143,19688.72321,3375000,1.166
ruby,kripke.exe,1,31267857.14,197928571.4,49410714.29,453500000,3267857.143,1232142.857,53571.42857,53571.42857,7.526785714,106226245.9,27266759.52,938.7232143,19688.72321,4053571.429,1.428816467
ruby,kripke.exe,1,47089285.71,284625000,72732142.86,667178571.4,4178571.429,1232142.857,71428.57143,53571.42857,4.553571429,150112091.2,27430999.83,938.7232143,19688.72321,4464285.714,1.333333333
ruby,kripke.exe,1,2428571.429,15053571.43,3625000,32321428.57,589285.7143,392857.1429,17857.14286,17857.14286,5.1875,8386269.741,6687231.116,938.7142857,19688.71429,750000,1
ruby,kripke.exe,1,4125000,23910714.29,5785714.286,53696428.57,589285.7143,375000,17857.14286,17857.14286,5.151785714,12322379.7,6768721.955,938.7321429,19688.72321,821428.5714,1.501501502
ruby,kripke.exe,1,7071428.571,38821428.57,9392857.143,89732142.86,839285.7143,375000,17857.14286,17857.14286,4.258928571,18908716.97,6760526.205,938.7232143,19688.73214,857142.8571,1.332
ruby,kripke.exe,1,11125000,59607142.86,14428571.43,139964285.7,964285.7143,392857.1429,17857.14286,17857.14286,5.1875,28121004.04,6787502.83,938.7232143,19688.72321,910714.2857,1.666
ruby,kripke.exe,1,16446428.57,86464285.71,20910714.29,204892857.1,1339285.714,392857.1429,17857.14286,17857.14286,4.053571429,39958640.53,6736933.125,938.7232143,19688.72321,1035714.286,1.250750751
ruby,kripke.exe,1,5089285.714,31928571.43,7482142.857,68482142.86,1178571.429,767857.1429,53571.42857,17857.14286,9.508928571,17142128.69,13552251.07,938.7232143,19688.72321,1642857.143,1.332
ruby,kripke.exe,1,10321428.57,56589285.71,12678571.43,126696428.6,1232142.857,767857.1429,53571.42857,17857.14286,5.330357143,26188501.2,13529604.96,938.7142857,19688.70536,1803571.429,1.332
ruby,kripke.exe,1,19107142.86,97767857.14,21321428.57,223875000,1535714.286,767857.1429,53571.42857,17857.14286,7.205357143,41304454.08,13520913.05,938.7232143,19688.73214,1946428.571,1.200480192
ruby,kripke.exe,1,31375000,155357142.9,33446428.57,359821428.6,1892857.143,785714.2857,53571.42857,35714.28571,3.205357143,62377783.1,13583246.87,938.7321429,19688.72321,2071428.571,1.166
ruby,kripke.exe,1,47214285.71,229535714.3,49000000,534964285.7,2392857.143,785714.2857,71428.57143,35714.28571,2.821428571,89613793.73,13499910.77,938.7232143,19688.72321,2267857.143,1.428816467
ruby,kripke.exe,1,1142857.143,7250000,1785714.286,15553571.43,267857.1429,196428.5714,0,0,3.3125,4156509.33,3439779.473,938.7232143,19688.73214,303571.4286,3.012048193
ruby,kripke.exe,1,1857142.857,10928571.43,2767857.143,24660714.29,303571.4286,196428.5714,0,0,6.285714286,5970380.955,3387247.509,938.7232143,19688.72321,339285.7143,1
ruby,kripke.exe,1,3035714.286,17053571.43,4392857.143,39732142.86,339285.7143,196428.5714,0,0,10.73214286,9063499.554,3379211.554,938.7232143,19688.72321,392857.1429,1.501501502
ruby,kripke.exe,1,4535714.286,25428571.43,6660714.286,60375000,410714.2857,196428.5714,0,0,4.410714286,13322680.99,3399026.473,938.7321429,19688.72321,410714.2857,1
ruby,kripke.exe,1,6446428.571,36178571.43,9571428.571,86839285.71,517857.1429,196428.5714,0,0,5,18789316.19,3351615.161,938.7232143,19688.72321,464285.7143,1
ruby,kripke.exe,1,1517857.143,14125000,2767857.143,26250000,589285.7143,285714.2857,17857.14286,0,8.410714286,8411668.42,6679616.125,938.7142857,19688.71429,803571.4286,2.006024096
ruby,kripke.exe,1,3232142.857,23017857.14,4928571.429,47696428.57,589285.7143,285714.2857,17857.14286,0,2.607142857,12350738.14,6686729.857,938.7232143,19688.72321,857142.8571,1.501501502
ruby,kripke.exe,1,6178571.429,37928571.43,8535714.286,83732142.86,839285.7143,285714.2857,17857.14286,0,5.651785714,18944179.94,6716844.116,938.7232143,19688.72321,875000,1
ruby,kripke.exe,1,10250000,58714285.71,13571428.57,133982142.9,928571.4286,285714.2857,17857.14286,0,3.089285714,28106602.13,6753323.643,938.7232143,19688.72321,1000000,1.332
ruby,kripke.exe,1,15535714.29,85535714.29,20053571.43,198839285.7,1232142.857,303571.4286,17857.14286,0,2.607142857,39986943.86,6746409.161,938.7232143,19688.73214,1053571.429,1
ruby,kripke.exe,1,3410714.286,30285714.29,5803571.429,56821428.57,1160714.286,589285.7143,53571.42857,17857.14286,5.321428571,17121712.26,13535158.9,938.7321429,19688.72321,1482142.857,1.501501502
ruby,kripke.exe,1,8678571.429,54964285.71,10982142.86,115125000,1214285.714,589285.7143,53571.42857,17857.14286,4.098214286,26166601.29,13520770.81,938.7142857,19688.71429,1750000,1.666
ruby,kripke.exe,1,17428571.43,96107142.86,19625000,212196428.6,1500000,589285.7143,53571.42857,17857.14286,4.571428571,41266956.95,13432004.54,938.7232143,19688.72321,2196428.571,1.250750751
ruby,kripke.exe,1,29678571.43,153678571.4,31732142.86,348089285.7,1946428.571,589285.7143,53571.42857,17857.14286,9.857142857,62408815.63,13623500.38,938.7232143,19688.73214,1964285.714,1.800720288
ruby,kripke.exe,1,45500000,227803571.4,47303571.43,523035714.3,2410714.286,607142.8571,71428.57143,17857.14286,10.46428571,89543100.43,13497395.31,938.7321429,19688.72321,2089285.714,1.2864494
ruby,kripke.exe,1,750000,6857142.857,1357142.857,12714285.71,267857.1429,142857.1429,0,0,4.232142857,4176373.777,3414875.741,938.7142857,19688.69643,339285.7143,2.006024096
ruby,kripke.exe,1,1482142.857,10571428.57,2339285.714,21892857.14,303571.4286,142857.1429,0,0,4.464285714,6021597.357,3384767.205,938.7142857,19688.70536,357142.8571,1
ruby,kripke.exe,1,2482142.857,16464285.71,3946428.571,36392857.14,339285.7143,142857.1429,0,0,4.357142857,9076391.286,3417451.732,938.7142857,19688.70536,410714.2857,1
ruby,kripke.exe,1,4053571.429,24928571.43,6232142.857,57250000,392857.1429,142857.1429,0,0,10.95535714,13310294.22,3454606.857,938.7142857,19688.69643,446428.5714,1
ruby,kripke.exe,1,6071428.571,35821428.57,9142857.143,84107142.86,517857.1429,142857.1429,0,0,4.5,18826674.45,3445928.063,938.7142857,19688.70536,482142.8571,1.501501502
