machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
corona,minigan,"",1,0.0333,258000000.0,1867627335.0,549525983.0,4454000000.0,148942954.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,761825662.0,1.0218639999999999,,,,0.9761360000000003
corona,minigan,"",1,0.0333,68000000.0,416174990.0,122567505.0,1056000000.0,38287346.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,169319861.0,0.24024300000000004,,,,1.7577570000000002
corona,minigan,"",1,0.0333,94000000.0,633022007.0,186627893.0,1566000000.0,49185033.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,254433108.0,0.360758,,,,1.637242
corona,minigan,"",1,0.05,188000000.0,1346415058.0,399963678.0,3254000000.0,104954901.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,549558492.0,0.74133,,,,2.25867
corona,minigan,"",1,0.05,330000000.0,2454864727.0,720971093.0,5832000000.0,214903235.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1005768131.0,1.3468410000000002,,,,1.6531589999999998
corona,minigan,"",1,0.05,434000000.0,3219784194.0,946790110.0,7624000000.0,286038375.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1335607655.0,1.7528700000000002,,,,1.2471299999999998
corona,miniqmc,"",1,0.0333,124000000.0,853955160.0,251122030.0,2078000000.0,65016053.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,342329139.0,0.4755680000000001,,,,1.5224320000000002
corona,miniqmc,"",1,0.0333,176000000.0,1257541504.0,371643457.0,3028000000.0,117270712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,504138266.0,0.7012959999999999,,,,1.2967040000000003
corona,miniqmc,"",1,0.0333,250000000.0,1807856594.0,530895230.0,4320000000.0,140329736.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,721164987.0,0.981151,,,,1.0168490000000001
corona,miniqmc,"",1,0.0333,90000000.0,562246406.0,165318684.0,1402000000.0,50830727.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,224487102.0,0.32047600000000004,,,,1.6775240000000002
corona,miniqmc,"",1,0.05,342000000.0,2484911951.0,730704375.0,5912000000.0,197098134.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1010053580.0,1.341749,,,,1.658251
corona,miniqmc,"",1,0.05,438000000.0,3271314626.0,961753693.0,7742000000.0,286556216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1337585320.0,1.8025960000000003,,,,1.1974039999999997
corona,miniqmc,"",1,0.0666,576000000.0,4286145334.0,1256545034.0,10120000000.0,376316817.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1766726395.0,2.334196,,,,1.6618040000000005
corona,minitri,"",1,0.0333,112000000.0,708928510.0,208567651.0,1746000000.0,64004705.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,281416298.0,0.395409,,,,1.6025910000000003
corona,minitri,"",1,0.0333,154000000.0,1069818891.0,313957718.0,2592000000.0,81310482.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,424904729.0,0.5955069999999999,,,,1.4024930000000002
corona,minitri,"",1,0.0333,218000000.0,1576217452.0,463152185.0,3776000000.0,146373115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,625150262.0,0.8611820000000001,,,,1.136818
corona,minitri,"",1,0.05,312000000.0,2265801454.0,664021727.0,5384000000.0,175212933.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,910260451.0,1.221575,,,,1.778425
corona,minitri,"",1,0.05,424000000.0,3107430358.0,909748404.0,7370000000.0,246816142.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,1250885775.0,1.6978970000000002,,,,1.3021029999999998
