machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,TestDfft,1,3287250000,3942500000,1750937500,14094000000,51500000,52000000,23625000,24125000,1081.03125,66733339.97,499107790.7,69909.84375,2106280.531,812062500,0.285591767
quartz,TestDfft,1,52000000,92000000,46000000,384000000,4000000,4000000,2000000,0,2197,22257308,669218,37804,2173178,24000000,4.012048193
quartz,TestDfft,1,54312500,105687500,41187500,306687500,,,,,1110.5625,4342227.188,11126254.91,69877.84375,2106278.5,1562500,2.252252252
quartz,TestDfft,1,338000000,560000000,308000000,2486000000,42000000,36000000,12000000,10000000,2871,112093988,1709704,37804,2173189,166000000,7.006006006
quartz,TestDfft,1,93562500,208250000,89937500,639250000,62500,0,0,0,1111.625,13121830.88,18075436.22,69909.84375,2106279.844,9750000,5.402160864
quartz,TestDfft,1,2930000000,3354000000,1852000000,17024000000,288000000,284000000,120000000,126000000,3132,177961457,2891119,37804,2173773,2706000000,2.166
quartz,TestDfft,1,410750000,638062500,287000000,2196875000,7500000,8000000,4000000,2000000,1119.5625,24048074.84,65251467.56,69909.84375,2106298.063,74937500,25.52552553
quartz,TestDfft,1,22246000000,18504000000,10902000000,1.09698E+11,2144000000,1962000000,1842000000,1306000000,2446,1249692130,4315438,37804,2173786,13906000000,0.02032819
quartz,TestDfft,1,3863812500,4592875000,2035500000,16475562500,53437500,62000000,25812500,29437500,1067.96875,72088096.06,639656522.9,69909.84375,2106298.469,1028375000,0.222
quartz,TestDfft,1,60000000,98000000,50000000,422000000,6000000,4000000,2000000,0,2470,21382518,642229,37804,2173747,32000000,7.006006006
quartz,TestDfft,1,61750000,117250000,44937500,338125000,,,,,1084.875,4280209.469,13688599.47,69876.875,2106296.219,2000000,19.60744298
quartz,TestDfft,1,396000000,610000000,338000000,2782000000,50000000,40000000,16000000,12000000,3462,113211236,1649389,37804,2173760,140000000,1
quartz,TestDfft,1,105437500,225250000,96375000,690625000,1375000,0,0,0,1094.28125,13210699.81,19645789.38,69909.84375,2106297.656,11750000,0.5
quartz,TestDfft,1,3394000000,3746000000,2070000000,19306000000,412000000,324000000,176000000,158000000,3755,205100345,2899514,37804,2174345,3058000000,0.714408233
quartz,TestDfft,1,473500000,711875000,318062500,2460687500,9562500,9187500,4000000,4000000,1115.46875,24853935,76569932.63,69909.84375,2106315.938,83562500,1.800720288
quartz,TestDfft,1,25870000000,22056000000,12610000000,1.29588E+11,2708000000,2288000000,2244000000,1576000000,4000,1450949192,4359847,37804,2174360,20566000000,0.19997818
quartz,TestDfft,1,4367875000,5131937500,2287125000,18538625000,62625000,72000000,30500000,34562500,1109.15625,79246514.81,740330605.9,69909.84375,2106316.406,1199687500,1.800720288
quartz,TestDfft,1,68000000,106000000,54000000,460000000,6000000,6000000,2000000,0,3012,18285747,637961,37804,2174314,34000000,35.13855422
quartz,TestDfft,1,68000000,127062500,48312500,364062500,,,,,1133.59375,4327184.719,15255309.16,69877.84375,2106314,2000000,22.02102102
quartz,TestDfft,1,456000000,662000000,366000000,3086000000,56000000,46000000,18000000,14000000,3490,115248289,1679490,37804,2174330,150000000,1
quartz,TestDfft,1,116875000,241000000,102250000,739000000,1625000,0,0,0,1079.8125,13278182.88,21412404.22,69877.84375,2106314.469,13187500,0.600240096
quartz,TestDfft,1,1734000000,1646000000,902000000,8996000000,178000000,124000000,72000000,62000000,3707,131388340,3422047,37804,2174629,416000000,5.046254588
quartz,TestDfft,1,3022000000,3046000000,1712000000,16234000000,138000000,214000000,92000000,118000000,3677,255035892,7721467,37804,2174631,1056000000,4.034580499
