no,corona,quartz,lassen,ruby
125,343.6898,1294.3276,376.1457,525.4259
126,693.0997,2385.7157,632.03,941.8493
127,872.5972,3336.7662,941.2558,1347.2325
128,1309.1061,3467.2964,711.4156,1344.0987
129,862.7086,3064.4218,721.2597,1306.57
130,1954.8835,3598.036,778.7551,1329.9438
131,1634.1888,4121.8221,919.9324,1569.9476
132,2117.7705,5904.2371,1485.2266,8011.464
133,764.3627,1541.5717,371.3253,631.294
134,1015.6016,1136.2812,267.8048,462.7325
135,2141.0937,8470.19,1887.6789,3537.1057
136,812.3603,2931.7795,646.2352,1139.3025
137,414.4097,1454.5314,448.0414,592.3105
138,23.1762,42.6985,9.634,17.0032
139,1685.9659,4849.0672,1119.1579,1934.6603
140,1248.3968,2575.663,711.1178,1061.6101
141,280.0033,1009.3613,237.5577,364.2716
142,1112.4317,1216.1764,350.5896,484.7585
143,295.4382,507.7073,122.0567,203.5791
144,1305.4523,2913.727,697.8105,1177.6937
145,2004.344,5194.3418,1264.6644,2211.9269
146,1984.0163,5786.3274,8324.5799,2489.2721
147,684.9768,779.8016,156.0713,324.5187
148,178.1072,514.3345,131.7932,210.2792
149,1141.509,4842.3,1211.0079,1912.135
150,438.4068,1236.2891,242.7134,507.8727
151,428.9332,520.3221,124.2157,209.1073
152,2013.0413,8057.2532,2475.421,3276.1921
153,574.5164,1708.3849,390.984,699.8276
154,1204.1464,1534.2961,417.8485,1908.4669
155,1346.5748,2142.0853,597.4422,794.081
156,1294.8831,5069.8843,1494.9595,2115.0675
157,1287.1945,2219.2084,609.4021,903.7963
158,963.0515,1746.1372,431.7815,794.1225
159,566.8962,2239.4286,615.0115,919.3897
160,1128.5521,1889.9277,506.3434,764.8421
161,710.7513,1893.1738,487.0636,738.1125
162,1829.7267,2420.5234,615.6519,964.4476
163,2252.4981,6059.7506,1487.2439,7717.8167
164,617.4331,1660.9665,479.911,658.0093
165,1924.8952,2602.2374,553.5909,991.0373
166,512.9709,1702.2121,400.5453,652.0767
167,1403.8261,4558.2655,1089.5659,1832.8339
168,2142.5912,7369.36,1907.0267,2894.6318
169,1382.2091,4951.5994,1113.0435,2000.0829
170,2110.9496,5082.9647,1393.3568,2167.3565
171,806.6013,1036.2904,259.3525,396.0448
172,1819.282,6040.7315,1535.1408,2369.7794
173,647.6864,956.9331,194.8793,392.2368
174,1208.7295,2742.8502,715.8319,1100.5575
175,523.7434,958.1724,241.7538,370.842
176,745.8737,1731.3484,407.676,701.4672
177,1567.4073,3284.9009,739.7359,1452.0914
178,492.3117,1982.8379,600.1308,754.1728
179,684.2094,991.0318,264.8415,411.5783
180,1452.577,4599.9795,1396.4953,1784.9353
181,1382.3521,1878.3372,437.3846,838.5073
182,1173.5069,4356.1485,1236.1105,1655.2072
183,1248.9885,3568.9079,928.9159,1462.9744
184,1113.0262,3953.5161,883.0576,1769.0428
185,835.287,2002.0361,598.2941,761.1781
186,928.009,1964.1441,408.91,765.8775
187,703.4158,2912.2743,692.4279,1173.1092
188,1029.585,1757.3238,479.8133,708.0712
189,610.0309,860.5894,206.6725,337.318
190,1706.8724,5971.7903,1756.4464,2396.9452
191,226.2958,781.681,180.6336,303.5332
192,802.2249,3026.0923,806.3854,1259.6781
193,292.263,900.0612,210.1022,346.9306
194,58.4608,151.7619,37.5297,60.6677
195,198.0178,697.4553,161.0434,282.113
196,2023.2062,5174.6736,1060.9115,2094.9375
197,39.2794,126.3595,37.3547,48.1942
198,1753.955,7440.9169,1705.2539,2906.7476
199,263.8851,546.1609,136.7672,227.9019
200,1939.7167,7633.5179,2293.5195,3062.6694
201,605.054,2381.8776,602.3596,1054.4265
202,1520.2843,1655.7894,424.582,702.591
203,429.8411,1282.6157,348.9908,528.63
204,2190.5824,7229.2121,1735.1311,2976.9304
205,602.5721,1170.5833,312.1938,432.6775
206,310.0698,382.3583,83.41,167.3395
207,1767.0004,4559.2006,1246.1932,1756.3776
208,435.0864,1769.9519,434.9193,671.9319
209,1156.2151,3936.6897,1326.7175,1551.9132
210,912.1952,1662.8232,390.0874,660.1363
211,1440.9973,4940.4206,1429.8415,1912.0798
212,662.1993,2070.8477,563.3252,773.8095
213,1438.4468,5264.8376,1281.3357,2033.4103
214,1100.1107,1967.5331,463.7366,766.7425
215,774.0233,2740.5758,573.0787,1092.2145
216,455.4423,505.7871,121.9268,194.1855
217,1266.3987,4651.4185,1007.7756,1894.1153
218,621.6279,2064.8671,509.0123,811.2354
219,1283.5599,4764.7892,1084.7859,1849.5022
220,1575.3551,3807.9748,979.049,1603.4313
221,1068.9356,3048.8804,765.5919,3915.7937
222,896.1166,2308.5491,550.0701,971.9763
223,2137.7106,3287.1966,785.5667,1396.9425
224,968.2671,2965.519,741.5529,1218.5089
225,133.4754,275.4437,74.1695,103.8659
226,1265.8043,1877.1996,515.3675,768.0197
227,1104.489,3499.0645,844.6361,1445.5949
228,38.6195,128.9879,35.1865,55.5827
229,999.2826,2027.851,583.6738,850.014
230,532.303,1065.4965,287.8503,410.0518
231,775.06,2395.6166,622.0212,1011.7539
232,978.8201,1133.4709,275.461,472.343
233,1108.9977,3675.4406,966.1741,1455.4753
234,1105.9321,1222.2479,251.1234,494.2885
235,1830.1111,6505.6975,1775.3248,2476.117
236,1.2131,2.7667,1.0209,1.1241
237,161.9119,643.3443,139.0615,826.3203
238,441.7326,729.292,160.93,299.0002
239,229.4492,714.2644,180.2374,302.6057
240,605.1002,1278.6646,345.2367,486.1026
241,2220.9826,2595.7129,782.3135,1031.3767
242,343.5964,1358.4838,395.2225,1610.3384
243,143.1862,498.751,155.6175,202.5013
244,1167.555,4906.902,1251.237,1936.1359
245,1996.5987,5670.1822,1203.1822,2219.2846
246,965.4181,3614.8187,930.9295,1421.0908
247,1062.8791,2615.0811,670.8804,1026.4684
248,1538.9782,5244.4109,1210.267,2188.8182
249,1571.4673,3431.8554,757.2237,1361.5053
250,1781.0593,7407.1459,2019.3705,2958.1513
251,2234.5381,7545.2957,1956.6127,2898.3938
252,353.3447,1264.2496,1662.9559,499.2542
253,1646.3137,6702.6994,1654.6816,2681.4304
254,2122.8352,4219.3538,890.4922,1688.2342
255,1023.9319,3605.2,853.6671,4140.9937
256,218.464,353.8476,91.1731,137.1654
257,337.954,955.5173,234.6286,400.9116
258,474.8743,1806.3748,577.9905,719.3753
259,2138.1686,6189.0783,1497.5398,2546.0714
260,1929.8422,6296.1361,1688.9409,2560.3204
261,1911.6495,3189.0888,809.7501,1421.4676
262,801.8384,3014.202,790.4693,3529.5331
263,2078.3413,6481.4486,1949.0536,2669.7236
264,410.2166,922.8196,258.0785,380.3131
265,1440.0876,2153.9433,571.4275,812.2255
266,1112.7879,2656.8941,778.6499,998.2384
267,461.6726,924.44,206.949,348.4183
268,537.3809,2024.863,472.6497,765.0426
269,2019.5169,2923.8217,679.0113,1179.4592
270,243.7855,270.0004,56.7079,108.6915
271,2257.8239,4715.1525,1228.8509,1899.6211
272,1771.5587,6307.5586,1490.5019,2618.9572
273,541.9475,1433.9496,398.1295,604.4084
274,1454.5307,5708.0432,1356.4062,2168.2727
275,1728.645,5232.564,1231.4611,2083.9807
276,1678.5425,6804.9448,1810.0398,2748.3985
277,2108.4722,4152.039,5850.1948,1627.931
278,348.1502,870.7182,254.6787,353.8034
279,1473.8239,3489.4021,820.958,1345.6303
