machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,miniVite,1,,3,1,2000000,65128,-1,-1,-1,-1,-1,-1,293744,206607,4,1
corona,miniVite,1,,98,1,4000000,24581,-1,-1,-1,-1,-1,-1,293744,206608,3,2
corona,miniVite,1,,93,1,4000000,83283,-1,-1,-1,-1,-1,-1,293744,206608,4,1.501501502
corona,miniVite,1,,3,1,2000000,12020,-1,-1,-1,-1,-1,-1,293744,206604,4,0.498498498
corona,miniVite,1,2000000,3695,17,16000000,19,-1,-1,-1,-1,-1,-1,293744,206610,3,3.003003003
corona,miniVite,1,,3,2,2000000,19423,-1,-1,-1,-1,-1,-1,293744,206604,15,1
corona,miniVite,1,,3,2,4000000,67558,-1,-1,-1,-1,-1,-1,293744,206608,,2.006024096
corona,miniVite,1,,91,2,6000000,84108,-1,-1,-1,-1,-1,-1,293744,206607,4,7.024096386
corona,miniVite,1,,3,1,2000000,18726,-1,-1,-1,-1,-1,-1,293744,206605,2,1
corona,miniVite,1,2000000,8145,3,14000000,139126,-1,-1,-1,-1,-1,-1,293744,206608,95,3.003003003
corona,miniVite,1,,2,1,2000000,63657,-1,-1,-1,-1,-1,-1,293744,206606,15,1.501501502
corona,miniVite,1,,3,1,4000000,25444,-1,-1,-1,-1,-1,-1,293744,206608,4,1
corona,miniVite,1,,9517,1,4000000,67391,-1,-1,-1,-1,-1,-1,293744,206609,,3.501501502
corona,miniVite,1,,3,2,2000000,14736,-1,-1,-1,-1,-1,-1,293744,206604,3,1.501501502
corona,miniVite,1,4000000,7996,15,16000000,110288,-1,-1,-1,-1,-1,-1,293744,206610,17,1.501501502
corona,miniVite,1,,3,53,2000000,20826,-1,-1,-1,-1,-1,-1,293744,206605,3,3.003003003
corona,miniVite,1,,95,2,4000000,65254,-1,-1,-1,-1,-1,-1,293744,206608,1184,1.501501502
corona,miniVite,1,,3,3,4000000,22876,-1,-1,-1,-1,-1,-1,293744,206609,196537,3.501501502
corona,miniVite,1,,3,7,2000000,68832,-1,-1,-1,-1,-1,-1,293744,206605,5,3.012048193
corona,miniVite,1,4000000,7632,3,16000000,104449,-1,-1,-1,-1,-1,-1,293744,206611,4,1
corona,miniVite,1,,2,1,2000000,19355,-1,-1,-1,-1,-1,-1,293744,206607,3,3.003003003
