machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
quartz,laghos,1,13414000000,31786000000,10232000000,98078000000,274000000,268000000,12000000,8000000,5328433,18667069458,13705153244,37771,2227626,1534000000,2.941404871
quartz,laghos,1,14330000000,33958000000,10930000000,1.05E+11,274000000,280000000,12000000,8000000,5693421,19940213461,14646269092,37771,2231350,1578000000,2.684775742
quartz,laghos,1,14334000000,33956000000,10930000000,1.05E+11,290000000,282000000,10000000,8000000,5693653,19940866966,14700631894,37771,2231350,1586000000,2.833333333
quartz,laghos,1,43954000000,1.46E+11,48920000000,4.31E+11,1448000000,1734000000,102000000,74000000,6987658,95304034184,69996416403,37771,2240844,7392000000,0.716208546
quartz,laghos,1,43964000000,1.46E+11,48924000000,4.31E+11,1494000000,1732000000,80000000,72000000,6993352,95305056532,69973653799,37771,2240843,7534000000,0.736083333
quartz,laghos,1,49292000000,1.64E+11,54858000000,4.84E+11,1666000000,1944000000,80000000,88000000,7837567,1.07E+11,78551812364,37771,2249202,9088000000,0.783127304
quartz,laghos,1,49312000000,1.64E+11,54870000000,4.84E+11,1664000000,1944000000,78000000,72000000,7837189,1.07E+11,78542752735,37771,2249202,8332000000,0.678962963
quartz,laghos,1,55010000000,1.83E+11,61218000000,5.39E+11,1722000000,2170000000,90000000,82000000,8728818,1.19E+11,87395861298,37771,2258117,9440000000,0.6222
quartz,laghos,1,54990000000,1.83E+11,61214000000,5.39E+11,1754000000,2168000000,128000000,96000000,8727180,1.19E+11,87556119460,37771,2258118,9302000000,0.733333333
quartz,laghos,1,72274000000,2.41E+11,80442000000,7.09E+11,2392000000,2850000000,116000000,102000000,11482814,1.57E+11,1.15E+11,37771,2285302,12154000000,0.483067223
quartz,laghos,1,72260000000,2.41E+11,80436000000,7.09E+11,2384000000,2848000000,132000000,130000000,11483660,1.57E+11,1.15E+11,37771,2285304,12330000000,0.4833
quartz,laghos,1,83436000000,2.78E+11,92846000000,8.18E+11,2710000000,3292000000,182000000,146000000,13257360,1.81E+11,1.33E+11,37771,2302598,14140000000,0.424458258
quartz,laghos,1,83376000000,2.78E+11,92822000000,8.18E+11,2714000000,3290000000,128000000,116000000,13252974,1.81E+11,1.33E+11,37771,2302599,14426000000,0.422547114
quartz,laghos,1,93430000000,3.11E+11,1.04E+11,9.17E+11,3024000000,3688000000,134000000,138000000,14852424,2.03E+11,1.49E+11,37771,2318277,15916000000,0.387101769
quartz,laghos,1,93462000000,3.11E+11,1.04E+11,9.17E+11,3026000000,3686000000,140000000,134000000,14852316,2.03E+11,1.49E+11,37771,2318278,16520000000,0.398666667
quartz,laghos,1,18722000000,77512000000,27208000000,2.21E+11,688000000,712000000,50000000,30000000,30887939,77792290434,37168079192,37771,2189549,5748000000,1.386335743
quartz,laghos,1,18722000000,77512000000,27208000000,2.21E+11,712000000,712000000,40000000,24000000,30885180,77796755598,37167429328,37771,2189547,5680000000,1.333333333
quartz,laghos,1,23430000000,96882000000,34004000000,2.76E+11,842000000,894000000,44000000,28000000,37530644,97270317507,46548092112,37771,2193877,7080000000,1.148111111
quartz,laghos,1,23410000000,96868000000,33998000000,2.76E+11,832000000,886000000,46000000,28000000,37528035,97269516692,46601606642,37771,2193877,7172000000,1.12504018
quartz,laghos,1,28932000000,1.2E+11,41974000000,3.41E+11,1048000000,1098000000,64000000,38000000,45827495,1.2E+11,57354272808,37771,2199060,8742000000,0.955221207
quartz,laghos,1,28912000000,1.2E+11,41966000000,3.41E+11,1046000000,1100000000,88000000,50000000,45820563,1.2E+11,57318960230,37771,2199060,8646000000,0.926497838
quartz,laghos,1,33672000000,1.39E+11,48864000000,3.97E+11,1202000000,1278000000,66000000,42000000,52841105,1.4E+11,66583516862,37771,2203455,10208000000,0.848093574
quartz,laghos,1,33638000000,1.39E+11,48848000000,3.96E+11,1228000000,1276000000,66000000,40000000,52842274,1.4E+11,66520384369,37771,2203455,10120000000,0.848093574
quartz,laghos,1,37626000000,1.56E+11,54636000000,4.43E+11,1354000000,1430000000,78000000,50000000,57829759,1.56E+11,74223078074,37771,2207296,11358000000,0.965907541
quartz,laghos,1,37640000000,1.56E+11,54640000000,4.43E+11,1342000000,1432000000,76000000,44000000,57828703,1.56E+11,74232723108,37771,2207296,11480000000,0.965907541
quartz,laghos,1,40972000000,1.7E+11,59530000000,4.83E+11,1510000000,1566000000,76000000,46000000,61894902,1.7E+11,80802717875,37771,2210591,12370000000,0.926293185
quartz,laghos,1,40924000000,1.7E+11,59510000000,4.83E+11,1508000000,1562000000,112000000,66000000,61886440,1.7E+11,80808344848,37771,2210591,12452000000,0.916625
quartz,laghos,1,3.23E+11,1.59E+12,5.58E+11,4.43E+12,23698000000,15880000000,2086000000,2114000000,605937214,1.66E+12,7.69E+11,37771,2215571,1.29E+11,0.112656267
quartz,laghos,1,3.23E+11,1.59E+12,5.58E+11,4.43E+12,23714000000,15854000000,2036000000,2060000000,605288880,1.66E+12,7.69E+11,37771,2215571,1.29E+11,0.113350411
quartz,laghos,1,4.31E+11,2.12E+12,7.46E+11,5.92E+12,31732000000,21260000000,3176000000,2858000000,779943430,2.21E+12,1.02E+12,37771,2230207,1.73E+11,0.093345019
quartz,laghos,1,4.31E+11,2.12E+12,7.46E+11,5.92E+12,31810000000,21198000000,2672000000,2824000000,780217789,2.21E+12,1.02E+12,37771,2230207,1.71E+11,0.078921349
quartz,laghos,1,5.37E+11,2.65E+12,9.29E+11,7.37E+12,39752000000,26498000000,3776000000,3900000000,909924798,2.75E+12,1.27E+12,37771,2244601,2.11E+11,0.063438013
quartz,laghos,1,5.36E+11,2.65E+12,9.29E+11,7.37E+12,39754000000,26522000000,3680000000,3552000000,909344312,2.75E+12,1.27E+12,37771,2244600,2.16E+11,0.064944315
quartz,laghos,1,5.8E+11,2.86E+12,1E+12,7.97E+12,42988000000,28638000000,3726000000,4100000000,954590079,2.98E+12,1.37E+12,37771,2250458,2.34E+11,0.060022989
quartz,laghos,1,5.81E+11,2.86E+12,1E+12,7.97E+12,42956000000,28624000000,3974000000,4052000000,954452993,2.98E+12,1.37E+12,37771,2250458,2.35E+11,0.060011447
quartz,laghos,1,6.36E+11,3.14E+12,1.1E+12,8.73E+12,47078000000,31442000000,4348000000,4064000000,1000674127,3.26E+12,1.5E+12,37771,2258111,2.56E+11,0.056197117
quartz,laghos,1,6.36E+11,3.14E+12,1.1E+12,8.73E+12,46828000000,31420000000,4116000000,4368000000,1000579724,3.26E+12,1.5E+12,37771,2258112,2.56E+11,0.056099609
quartz,laghos,1,7.41E+11,3.66E+12,1.28E+12,1.02E+13,54730000000,36628000000,4946000000,4740000000,1107051892,3.8E+12,1.75E+12,37771,2273181,3E+11,0.048706808
quartz,laghos,1,7.41E+11,3.66E+12,1.28E+12,1.02E+13,54558000000,36592000000,5136000000,4920000000,1106701299,3.8E+12,1.75E+12,37771,2273181,2.99E+11,0.048465875
quartz,laghos,1,1756000000,2510000000,734000000,8498000000,18000000,8000000,0,0,1118229,1118039287,809434728,37771,2188654,98000000,33.332
quartz,laghos,1,1754000000,2512000000,736000000,8502000000,24000000,8000000,0,0,1117884,1116848268,806487653,37771,2188656,100000000,33.332
quartz,laghos,1,2042000000,2918000000,856000000,9888000000,30000000,10000000,0,0,1298632,1299900069,939595815,37771,2191342,122000000,25.52552553
quartz,laghos,1,2042000000,2920000000,856000000,9890000000,22000000,10000000,0,0,1299480,1300076279,938308742,37771,2191342,120000000,25.27477477
quartz,laghos,1,2200000000,3148000000,922000000,10662000000,30000000,10000000,0,0,1400032,1401966766,1012713190,37771,2192865,122000000,26.52552553
quartz,laghos,1,2202000000,3150000000,922000000,10660000000,34000000,12000000,2000000,0,1400057,1400545188,1015182301,37771,2192864,130000000,26.27627628
quartz,laghos,1,2380000000,3412000000,996000000,11550000000,30000000,12000000,2000000,0,1517696,1516191867,1097863627,37771,2194669,132000000,36.666
quartz,laghos,1,2384000000,3412000000,998000000,11546000000,38000000,12000000,0,0,1518686,1517516256,1098457626,37771,2194669,136000000,37
quartz,laghos,1,2672000000,3822000000,1120000000,12942000000,26000000,14000000,0,0,1700048,1698003620,1230008106,37771,2197352,158000000,29.52852853
quartz,laghos,1,2672000000,3822000000,1118000000,12944000000,38000000,12000000,0,0,1699667,1700449752,1229324495,37771,2197352,160000000,29.27927928
quartz,laghos,1,2916000000,4172000000,1220000000,14128000000,40000000,14000000,2000000,0,1857673,1855232293,1339019933,37771,2199671,172000000,24.80912365
quartz,laghos,1,2918000000,4172000000,1222000000,14126000000,46000000,16000000,2000000,0,1855347,1854279639,1339390396,37771,2199672,170000000,31.03003003
quartz,laghos,1,8380000000,20164000000,6518000000,61854000000,200000000,168000000,8000000,6000000,3312123,11848127229,8459776126,37771,2210870,966000000,11
quartz,laghos,1,8380000000,20168000000,6520000000,61850000000,240000000,168000000,8000000,6000000,3312251,11849191558,8455499087,37771,2210870,980000000,10.9165
quartz,laghos,1,9580000000,23056000000,7454000000,70716000000,200000000,192000000,8000000,6000000,3786790,13544381142,9661557876,37771,2216423,1118000000,10.54155125
quartz,laghos,1,9568000000,23052000000,7448000000,70710000000,236000000,190000000,10000000,6000000,3786498,13541617296,9667786310,37771,2216422,1120000000,10.54155125
quartz,laghos,1,10228000000,24622000000,7958000000,75506000000,232000000,204000000,10000000,8000000,4041972,14466353387,10328948034,37771,2219491,1186000000,10.07286755
quartz,laghos,1,10228000000,24614000000,7956000000,75516000000,234000000,204000000,10000000,8000000,4041983,14465784300,10330133682,37771,2219491,1170000000,9.2664
quartz,laghos,1,11170000000,26890000000,8692000000,82486000000,272000000,224000000,12000000,6000000,4415216,15793695645,11283377627,37771,2223938,1330000000,10.28718388
quartz,laghos,1,11172000000,26888000000,8692000000,82484000000,220000000,224000000,10000000,6000000,4414645,15801578838,11284240191,37771,2223938,1308000000,8.939609902
quartz,laghos,1,12566000000,30246000000,9778000000,92782000000,310000000,252000000,12000000,8000000,4965776,17768576200,12697720781,37771,2230463,1446000000,9.189797449
quartz,laghos,1,12568000000,30246000000,9778000000,92780000000,336000000,250000000,12000000,8000000,4966253,17772514198,12693414672,37771,2230463,1480000000,8.648076244
quartz,laghos,1,13582000000,32702000000,10572000000,1E+11,270000000,272000000,14000000,10000000,5366379,19209515153,13718614740,37771,2235223,1600000000,9.001058948
quartz,laghos,1,13582000000,32694000000,10568000000,1E+11,330000000,268000000,14000000,10000000,5366214,19213326415,13715676222,37771,2235222,1588000000,8.942110837
quartz,laghos,1,16596000000,67398000000,24292000000,1.98E+11,554000000,606000000,34000000,22000000,15302116,68484369335,37906470860,37771,2188660,5098000000,3.82935753
quartz,laghos,1,16594000000,67392000000,24292000000,1.98E+11,574000000,604000000,38000000,22000000,15301633,68483149268,37893007872,37771,2188660,5152000000,3.853797746
quartz,laghos,1,19312000000,78470000000,28272000000,2.3E+11,660000000,704000000,38000000,24000000,17830455,79734773545,44082996231,37771,2191346,5984000000,3.666625
quartz,laghos,1,19318000000,78474000000,28276000000,2.3E+11,638000000,704000000,38000000,22000000,17830366,79736081466,44079176428,37771,2191345,6088000000,3.59208915
quartz,laghos,1,20846000000,84638000000,30500000000,2.48E+11,718000000,760000000,44000000,26000000,19215046,85985976622,47484732095,37771,2192868,6482000000,0.807754443
quartz,laghos,1,20840000000,84634000000,30492000000,2.48E+11,696000000,760000000,48000000,28000000,19215052,85986988805,47490839474,37771,2192869,6544000000,0.78848373
quartz,laghos,1,22568000000,91706000000,33040000000,2.69E+11,784000000,826000000,56000000,30000000,20841195,93175950474,51444975407,37771,2194674,6918000000,0.894736842
quartz,laghos,1,22590000000,91720000000,33050000000,2.69E+11,752000000,824000000,46000000,26000000,20847379,93176577029,51446070550,37771,2194674,6982000000,0.910746812
quartz,laghos,1,25314000000,1.03E+11,37036000000,3.01E+11,878000000,924000000,54000000,34000000,23357825,1.04E+11,57616458509,37771,2197356,7964000000,0.984095238
quartz,laghos,1,25324000000,1.03E+11,37040000000,3.01E+11,840000000,924000000,48000000,30000000,23356744,1.04E+11,57611953223,37771,2197356,7890000000,0.984095238
quartz,laghos,1,27638000000,1.12E+11,40434000000,3.29E+11,926000000,1008000000,56000000,34000000,25498933,1.14E+11,62877930907,37771,2199676,8576000000,1.043478261
quartz,laghos,1,27632000000,1.12E+11,40434000000,3.29E+11,926000000,1006000000,64000000,34000000,25499510,1.14E+11,62892310881,37771,2199675,8454000000,1.058854672
quartz,laghos,1,2.86E+11,1.36E+12,4.89E+11,3.91E+12,20022000000,13924000000,1824000000,1800000000,249981662,1.43E+12,7.5E+11,37771,2210881,1.12E+11,0.100503817
quartz,laghos,1,2.86E+11,1.36E+12,4.89E+11,3.91E+12,19866000000,13894000000,1700000000,1720000000,249901207,1.43E+12,7.5E+11,37771,2210881,1.11E+11,0.101135528
quartz,laghos,1,,,,,22928000000,15918000000,2164000000,1942000000,,,,37771,2216434,1.27E+11,0.104366758
quartz,laghos,1,,,,,22854000000,15880000000,2046000000,1938000000,286900777,1.63E+12,8.58E+11,37771,2216432,1.26E+11,0.104067235
quartz,laghos,1,270000000,370000000,106000000,1272000000,2000000,0,0,0,175215,161233229,116009903,37771,2173738,12000000,65.56456456
quartz,laghos,1,270000000,368000000,106000000,1272000000,4000000,0,0,0,174251,160404192,116615484,37771,2173739,14000000,130.5180723
quartz,laghos,1,314000000,430000000,124000000,1482000000,4000000,0,0,0,203407,189095070,136410165,37771,2174048,14000000,65
quartz,laghos,1,314000000,430000000,124000000,1482000000,4000000,0,0,0,204461,189000920,136132143,37771,2174046,14000000,87.08708709
quartz,laghos,1,360000000,492000000,142000000,1692000000,4000000,0,0,0,232186,215808727,155734796,37771,2174351,18000000,120.6186186
quartz,laghos,1,360000000,492000000,142000000,1692000000,4000000,0,0,0,231261,213268610,154300642,37771,2174351,16000000,72
quartz,laghos,1,404000000,552000000,158000000,1902000000,6000000,0,0,0,261358,240836523,174050489,37771,2174657,20000000,116.6156156
quartz,laghos,1,404000000,552000000,158000000,1900000000,6000000,0,0,0,260847,240919198,174391164,37771,2174658,18000000,116.6156156
quartz,laghos,1,448000000,614000000,176000000,2112000000,4000000,2000000,0,0,291033,268238836,193661793,37771,2174959,22000000,127.6276276
quartz,laghos,1,446000000,614000000,176000000,2114000000,6000000,2000000,0,0,291211,268352327,193840155,37771,2174962,20000000,127.6276276
quartz,laghos,1,492000000,676000000,194000000,2322000000,6000000,2000000,0,0,318597,294705151,212096112,37771,2175330,24000000,98.666
quartz,laghos,1,492000000,672000000,194000000,2320000000,6000000,2000000,0,0,317967,293128235,212070358,37771,2175330,24000000,74.07357357
quartz,laghos,1,1042000000,2424000000,776000000,7526000000,44000000,20000000,0,0,419863,1418845986,1017911203,37771,2175633,114000000,13.666
quartz,laghos,1,1042000000,2424000000,776000000,7526000000,44000000,20000000,0,0,420220,1420711422,1017222387,37771,2175633,108000000,13.666
quartz,laghos,1,1216000000,2828000000,906000000,8782000000,50000000,22000000,0,0,490468,1655664716,1184027904,37771,2176245,134000000,15.666
quartz,laghos,1,1216000000,2826000000,906000000,8780000000,52000000,22000000,0,0,490091,1654315299,1186637190,37771,2176245,134000000,11.51051051
quartz,laghos,1,1386000000,3224000000,1034000000,10012000000,28000000,26000000,0,0,559471,1884760362,1353871740,37771,2176853,156000000,16
quartz,laghos,1,1388000000,3226000000,1034000000,10014000000,36000000,26000000,0,0,559651,1886199521,1350636205,37771,2176853,150000000,12.26126126
quartz,laghos,1,1560000000,3628000000,1162000000,11266000000,34000000,30000000,0,0,629824,2123626474,1525678313,37771,2177525,176000000,18
quartz,laghos,1,1560000000,3628000000,1162000000,11266000000,66000000,30000000,0,0,628809,2121870870,1522905350,37771,2177526,156000000,15.51501502
quartz,laghos,1,1734000000,4032000000,1292000000,12518000000,72000000,32000000,0,0,698558,2353534877,1689966155,37771,2178134,192000000,11.80432173
quartz,laghos,1,1732000000,4030000000,1290000000,12516000000,34000000,32000000,0,0,699465,2359745512,1689886540,37771,2178135,186000000,19.666
quartz,laghos,1,1906000000,4434000000,1420000000,13768000000,36000000,36000000,0,0,769008,2594289873,1856228401,37771,2178808,214000000,16.01501502
quartz,laghos,1,1908000000,4434000000,1422000000,13772000000,72000000,36000000,0,0,769289,2592575083,1856787335,37771,2178808,212000000,15.76576577
quartz,laghos,1,9136000000,29980000000,9994000000,88842000000,328000000,358000000,18000000,16000000,1484337,19493037773,13974828229,37771,2184484,1602000000,2.12528132
quartz,laghos,1,2272000000,9294000000,3240000000,26382000000,88000000,84000000,4000000,2000000,2306746,9268968800,4217693424,37771,2173742,646000000,3.777333333
quartz,laghos,1,2270000000,9292000000,3238000000,26380000000,92000000,84000000,4000000,2000000,2306971,9270038957,4218867650,37771,2173742,642000000,5.574614065
quartz,laghos,1,2646000000,10828000000,3774000000,30734000000,92000000,98000000,4000000,2000000,2685867,10802153263,4915589638,37771,2174048,750000000,4.876219055
quartz,laghos,1,2646000000,10828000000,3774000000,30734000000,136000000,98000000,4000000,2000000,2686101,10797168461,4915747371,37771,2174049,758000000,6.003430532
quartz,laghos,1,3020000000,12362000000,4308000000,35092000000,164000000,112000000,6000000,2000000,3065892,12333546944,5613524447,37771,2174353,842000000,5.555333333
quartz,laghos,1,3018000000,12362000000,4308000000,35092000000,120000000,112000000,4000000,2000000,3064000,12331430124,5620710160,37771,2174353,866000000,5.626406602
quartz,laghos,1,3394000000,13896000000,4842000000,39444000000,120000000,126000000,6000000,4000000,3442562,13863268786,6311309609,37771,2174660,970000000,5
quartz,laghos,1,3394000000,13894000000,4842000000,39442000000,124000000,126000000,8000000,4000000,3443986,13861510156,6319451928,37771,2174660,970000000,5.555333333
quartz,laghos,1,3768000000,15428000000,5376000000,43792000000,134000000,142000000,6000000,4000000,3822783,15393082253,7008122182,37771,2174963,1074000000,5.00180072
quartz,laghos,1,3768000000,15426000000,5374000000,43792000000,134000000,140000000,6000000,2000000,3821881,15393526562,7010856410,37771,2174962,1078000000,5.50180072
quartz,laghos,1,3768000000,15428000000,5376000000,43790000000,138000000,142000000,6000000,2000000,3822773,15394488121,7008865353,37771,2174962,1066000000,5.402160864
quartz,laghos,1,4142000000,16964000000,5912000000,48152000000,154000000,154000000,8000000,4000000,4202324,16925917887,7707252812,37771,2175329,1172000000,9.819967267
quartz,laghos,1,4146000000,16968000000,5914000000,48156000000,148000000,154000000,6000000,4000000,4200832,16924577184,7705228341,37771,2175330,1174000000,9.819967267
quartz,laghos,1,22318000000,1.09E+11,38038000000,3.03E+11,1740000000,1130000000,172000000,168000000,21051649,1.13E+11,49144489729,37771,2174359,8330000000,0.1333
quartz,laghos,1,33326000000,1.63E+11,56852000000,4.53E+11,2572000000,1692000000,276000000,252000000,31282623,1.69E+11,73493061249,37770,2175638,12484000000,0.089867188
quartz,laghos,1,33330000000,1.63E+11,56856000000,4.53E+11,2584000000,1692000000,228000000,230000000,31275433,1.69E+11,73481659010,37771,2175640,12440000000,0.102277376
quartz,laghos,1,38854000000,1.91E+11,66278000000,5.28E+11,3032000000,1974000000,288000000,282000000,36370259,1.97E+11,85664102280,37771,2176252,14542000000,0.087382034
quartz,laghos,1,38852000000,1.91E+11,66276000000,5.28E+11,2988000000,1972000000,270000000,268000000,36479666,1.97E+11,85706954635,37771,2176252,14542000000,0.098972257
quartz,laghos,1,44266000000,2.17E+11,75498000000,6.01E+11,3424000000,2248000000,284000000,298000000,41450418,2.25E+11,97609049078,37771,2176861,16520000000,0.102564103
quartz,laghos,1,44222000000,2.17E+11,75478000000,6.01E+11,3412000000,2250000000,328000000,284000000,41489382,2.25E+11,97600050819,37771,2176861,16574000000,0.090895567
quartz,laghos,1,49638000000,2.44E+11,84830000000,6.76E+11,3856000000,2528000000,360000000,326000000,46737692,2.53E+11,1.1E+11,37771,2177534,18468000000,0.085923218
quartz,laghos,1,49756000000,2.44E+11,84884000000,6.76E+11,3848000000,2530000000,332000000,330000000,46611866,2.53E+11,1.1E+11,37771,2177534,18574000000,0.08395548
quartz,laghos,1,55258000000,2.71E+11,94288000000,7.51E+11,4258000000,2800000000,344000000,370000000,51952630,2.81E+11,1.22E+11,37771,2178142,20708000000,0.081083273
quartz,laghos,1,55252000000,2.71E+11,94284000000,7.51E+11,4264000000,2806000000,366000000,360000000,51904794,2.81E+11,1.22E+11,37771,2178142,20706000000,0.089014918
quartz,laghos,1,55268000000,2.71E+11,94290000000,7.51E+11,4316000000,2806000000,368000000,356000000,51848337,2.81E+11,1.22E+11,37771,2178142,20660000000,0.087813184
quartz,laghos,1,55288000000,2.71E+11,94300000000,7.51E+11,4296000000,2806000000,376000000,358000000,51752402,2.81E+11,1.22E+11,37771,2178142,20728000000,0.060812454
quartz,laghos,1,60728000000,2.98E+11,1.04E+11,8.26E+11,4724000000,3086000000,408000000,448000000,57230461,3.09E+11,1.34E+11,37771,2178816,22796000000,0.055216079
quartz,laghos,1,60786000000,2.98E+11,1.04E+11,8.26E+11,4736000000,3090000000,412000000,414000000,57060699,3.09E+11,1.34E+11,37771,2178816,22602000000,0.061703704
